epoch,step,test_loss,test_r2,train_loss,train_r2_epoch,train_r2_step,valid_loss,valid_r2
0,49,,,,,0.4060308337211609,,
0,66,,,,,,0.4537183940410614,0.5350610017776489
0,66,,,0.6116045117378235,0.35740113258361816,,,
1,99,,,,,0.4049009680747986,,
1,133,,,,,,0.4268815815448761,0.5625615119934082
1,133,,,0.511567234992981,0.4621386229991913,,,
2,149,,,,,0.29819923639297485,,
2,199,,,,,0.37632691860198975,,
2,200,,,,,,0.41343656182289124,0.5763390064239502
2,200,,,0.4941866397857666,0.4808938801288605,,,
3,249,,,,,0.4469678997993469,,
3,267,,,,,,0.40532952547073364,0.5846465229988098
3,267,,,0.4690130352973938,0.5073398351669312,,,
4,299,,,,,0.2506638765335083,,
4,334,,,,,,0.40002933144569397,0.590077817440033
4,334,,,0.46735504269599915,0.5057384967803955,,,
5,349,,,,,0.37477439641952515,,
5,399,,,,,0.5572241544723511,,
5,401,,,,,,0.39493003487586975,0.5953031778335571
5,401,,,0.4573228359222412,0.5130034685134888,,,
6,449,,,,,0.5172696113586426,,
6,468,,,,,,0.39218515157699585,0.5981159806251526
6,468,,,0.44970861077308655,0.5232417583465576,,,
7,499,,,,,0.6681989431381226,,
7,535,,,,,,0.3881255090236664,0.6022760272026062
7,535,,,0.44301071763038635,0.530642569065094,,,
8,549,,,,,0.6414445638656616,,
8,599,,,,,0.29169583320617676,,
8,602,,,,,,0.38783732056617737,0.6025713682174683
8,602,,,0.44880324602127075,0.5267045497894287,,,
9,649,,,,,0.444787859916687,,
9,669,,,,,,0.3848400115966797,0.6056427955627441
9,669,,,0.44561561942100525,0.5288764238357544,,,
10,699,,,,,0.5344102382659912,,
10,736,,,,,,0.3802518844604492,0.610344409942627
10,736,,,0.43694987893104553,0.5390499234199524,,,
11,749,,,,,0.6256868839263916,,
11,799,,,,,0.6505305767059326,,
11,803,,,,,,0.3789195120334625,0.611709713935852
11,803,,,0.4337196946144104,0.5425186157226562,,,
12,849,,,,,0.5902785658836365,,
12,870,,,,,,0.37645667791366577,0.6142334342002869
12,870,,,0.4336167275905609,0.5478067994117737,,,
13,899,,,,,0.5755652189254761,,
13,937,,,,,,0.37590262293815613,0.6148011684417725
13,937,,,0.42725634574890137,0.5504436492919922,,,
14,949,,,,,0.6399850845336914,,
14,999,,,,,0.40719330310821533,,
14,1004,,,,,,0.3747362196445465,0.6159964203834534
14,1004,,,0.42582371830940247,0.5549960136413574,,,
15,1049,,,,,0.5478136539459229,,
15,1071,,,,,,0.3752329349517822,0.6154874563217163
15,1071,,,0.4256400763988495,0.5468584895133972,,,
16,1099,,,,,0.4582168459892273,,
16,1138,,,,,,0.3747349679470062,0.6159977316856384
16,1138,,,0.41643020510673523,0.5581581592559814,,,
17,1149,,,,,0.5674187541007996,,
17,1199,,,,,0.516514778137207,,
17,1205,,,,,,0.37440115213394165,0.6163398027420044
17,1205,,,0.43220800161361694,0.54869145154953,,,
18,1249,,,,,0.6149330735206604,,
18,1272,,,,,,0.3738975524902344,0.6168558597564697
18,1272,,,0.43079403042793274,0.5496805906295776,,,
19,1299,,,,,0.5747878551483154,,
19,1339,,,,,,0.3786620795726776,0.6119735240936279
19,1339,,,0.42177915573120117,0.5522080659866333,,,
20,1340,0.3786620795726776,0.6119735240936279,,,,,
