epoch,step,test_loss,test_r2,train_loss,train_r2_epoch,train_r2_step
0,49,,,,,0.4296678900718689
0,66,,,0.6017239093780518,0.36739516258239746,
1,99,,,,,0.5465691089630127
1,133,,,0.4920802712440491,0.48412635922431946,
2,149,,,,,0.6636397838592529
2,199,,,,,0.3887189030647278
2,200,,,0.4710320234298706,0.5059962868690491,
3,249,,,,,0.4863710403442383
3,267,,,0.45762062072753906,0.5190548896789551,
4,299,,,,,0.6179153323173523
4,334,,,0.4533799886703491,0.5209641456604004,
5,349,,,,,0.6057150363922119
5,399,,,,,0.6327520608901978
5,401,,,0.453072190284729,0.5225372314453125,
6,449,,,,,0.2919939160346985
6,468,,,0.45174485445022583,0.525154709815979,
7,499,,,,,0.609703540802002
7,535,,,0.4458180069923401,0.5275329351425171,
8,549,,,,,0.2538108229637146
8,599,,,,,0.6821107864379883
8,602,,,0.44630637764930725,0.5303568243980408,
9,649,,,,,0.6106711626052856
9,669,,,0.44346100091934204,0.5341342091560364,
10,699,,,,,0.5393611788749695
10,736,,,0.4372413158416748,0.5390933752059937,
11,749,,,,,0.7192268371582031
11,799,,,,,0.4901435971260071
11,803,,,0.44167253375053406,0.5329204797744751,
12,849,,,,,0.36010313034057617
12,870,,,0.4415217936038971,0.5308536887168884,
13,899,,,,,0.6044870018959045
13,937,,,0.43777039647102356,0.5341125726699829,
14,949,,,,,0.5098313093185425
14,999,,,,,0.5090065002441406
14,1004,,,0.43301722407341003,0.5455779433250427,
15,1049,,,,,0.62718665599823
15,1071,,,0.43551838397979736,0.5412899851799011,
16,1099,,,,,0.6881605386734009
16,1138,,,0.4349503517150879,0.5460987687110901,
17,1149,,,,,0.5885517001152039
17,1199,,,,,0.5142914652824402
17,1205,,,0.4320419430732727,0.5398986339569092,
18,1249,,,,,0.39027225971221924
18,1272,,,0.4333530366420746,0.5405675768852234,
19,1299,,,,,0.529666006565094
19,1339,,,0.4397910535335541,0.5392888188362122,
20,1349,,,,,0.530782163143158
20,1399,,,,,0.5706572532653809
20,1406,,,0.433789998292923,0.5437716245651245,
21,1449,,,,,0.7022608518600464
