epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
20,6299,,,,0.609375,,,
20,6349,,,,0.5703125,,,
20,6399,,,,0.578125,,,
20,6449,,,,0.609375,,,
20,6499,,,,0.578125,,,
20,6549,,,,0.609375,,,
20,6572,,,,,,0.41100001335144043,2.3965179920196533
20,6572,,,0.5670750141143799,,1.5199922323226929,,
21,6599,,,,0.609375,,,
21,6649,,,,0.5625,,,
21,6699,,,,0.6328125,,,
21,6749,,,,0.625,,,
21,6799,,,,0.5859375,,,
21,6849,,,,0.625,,,
21,6885,,,,,,0.4221000075340271,2.3602521419525146
21,6885,,,0.5792250037193298,,1.4532814025878906,,
22,6899,,,,0.578125,,,
22,6949,,,,0.6171875,,,
22,6999,,,,0.6484375,,,
22,7049,,,,0.5859375,,,
22,7099,,,,0.59375,,,
22,7149,,,,0.53125,,,
22,7198,,,,,,0.4147999882698059,2.401756525039673
22,7198,,,0.5901749730110168,,1.4185067415237427,,
23,7199,,,,0.578125,,,
23,7249,,,,0.5703125,,,
23,7299,,,,0.625,,,
23,7349,,,,0.5390625,,,
23,7399,,,,0.640625,,,
23,7449,,,,0.515625,,,
23,7499,,,,0.5234375,,,
23,7511,,,,,,0.40209999680519104,2.504424810409546
23,7511,,,0.6033250093460083,,1.367017388343811,,
24,7549,,,,0.6328125,,,
24,7599,,,,0.640625,,,
24,7649,,,,0.5625,,,
24,7699,,,,0.5859375,,,
24,7749,,,,0.6015625,,,
24,7799,,,,0.609375,,,
24,7824,,,,,,0.4081000089645386,2.451422691345215
24,7824,,,0.6110000014305115,,1.3241769075393677,,
25,7849,,,,0.6484375,,,
25,7899,,,,0.75,,,
25,7949,,,,0.6328125,,,
25,7999,,,,0.625,,,
25,8049,,,,0.6484375,,,
25,8099,,,,0.625,,,
25,8137,,,,,,0.41350001096725464,2.450754404067993
25,8137,,,0.623449981212616,,1.2775689363479614,,
26,8149,,,,0.5703125,,,
26,8199,,,,0.671875,,,
26,8249,,,,0.625,,,
26,8299,,,,0.5859375,,,
26,8349,,,,0.640625,,,
26,8399,,,,0.5546875,,,
26,8449,,,,0.6171875,,,
26,8450,,,,,,0.42570000886917114,2.4226090908050537
26,8450,,,0.6317999958992004,,1.2448768615722656,,
27,8499,,,,0.6796875,,,
27,8549,,,,0.609375,,,
27,8599,,,,0.6484375,,,
27,8649,,,,0.6796875,,,
27,8699,,,,0.578125,,,
27,8749,,,,0.6796875,,,
27,8763,,,,,,0.42579999566078186,2.426459550857544
27,8763,,,0.640250027179718,,1.2017651796340942,,
28,8799,,,,0.75,,,
28,8849,,,,0.671875,,,
28,8899,,,,0.625,,,
28,8949,,,,0.65625,,,
28,8999,,,,0.5859375,,,
28,9049,,,,0.609375,,,
28,9076,,,,,,0.40610000491142273,2.5027263164520264
28,9076,,,0.6503250002861023,,1.1672435998916626,,
29,9099,,,,0.6640625,,,
29,9149,,,,0.65625,,,
29,9199,,,,0.6796875,,,
29,9249,,,,0.625,,,
29,9299,,,,0.5234375,,,
29,9349,,,,0.6875,,,
29,9389,,,,,,0.4025000035762787,2.580155372619629
29,9389,,,0.6607499718666077,,1.1293562650680542,,
30,9390,0.398499995470047,2.5991735458374023,,,,,
