epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
26,5075,,,0.9557291865348816,,0.1703648567199707,,
27,5099,,,,0.94140625,,,
27,5149,,,,0.93359375,,,
27,5199,,,,0.9765625,,,
27,5249,,,,0.95703125,,,
27,5263,,,,,,0.9596666693687439,0.170242577791214
27,5263,,,0.9556458592414856,,0.1708431988954544,,
28,5299,,,,0.95703125,,,
28,5349,,,,0.96875,,,
28,5399,,,,0.96484375,,,
28,5449,,,,0.96875,,,
28,5451,,,,,,0.9664999842643738,0.1396418958902359
28,5451,,,0.9568750262260437,,0.163945734500885,,
29,5499,,,,0.94140625,,,
29,5549,,,,0.9453125,,,
29,5599,,,,0.953125,,,
29,5639,,,,,,0.9680833220481873,0.1339055895805359
29,5639,,,0.9554791450500488,,0.17242203652858734,,
30,5640,0.9675999879837036,0.1311793029308319,,,,,
